タイトル,著者,出版社/出版年月日,amazon
心理学 第4版,,"東京大学出版会 / 
          2011年10月28日発売",https://www.amazon.co.jp/dp/4130121057?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
心理統計学の基礎 (有斐閣アルマ),南風原朝和,"有斐閣 / 
          2002年6月30日発売",https://www.amazon.co.jp/dp/4641121605?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
社会心理学におけるリーダーシップ研究のパースペクティブII,,"ナカニシヤ出版 / 
          2017年11月20日発売",https://www.amazon.co.jp/dp/4779512158?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
心理-論理と態度理論への数理アプローチ,小杉考司,松香党/ 2006年8月30日発売,
たのしいベイズモデリング: 事例で拓く研究のフロンティア,豊田秀樹,北大路書房 /             2018年10月4日発売,https://www.amazon.co.jp/dp/4762830402?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
多変量データ解析法―心理・教育・社会系のための入門,足立浩平,ナカニシヤ出版 /             2006年7月1日発売,https://www.amazon.co.jp/dp/4779500575?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
統計学のための数学入門30講 (科学のことばとしての数学),永田靖,"朝倉書店 / 
          2005年4月1日発売",https://www.amazon.co.jp/dp/4254116330?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
伝わるデザインの基本 増補改訂版 よい資料を作るためのレイアウトのルール,高橋佑磨,"技術評論社 / 
          2016年8月5日発売",https://www.amazon.co.jp/dp/4774183210?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
TensorFlowではじめるDeepLearning実装入門 (impress top gear),新村拓也,"インプレス / 
          2018年2月16日発売",https://www.amazon.co.jp/dp/4295003182?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
UP応用数学選書10 射影行列・一般逆行列・特異値分解 新装版,柳井晴夫,"東京大学出版会 / 
          2018年9月25日発売",https://www.amazon.co.jp/dp/4130653180?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
統計学が最強の学問である[数学編]――データ分析と機械学習のための新しい教科書,西内啓,"ダイヤモンド社 / 
          2017年12月21日発売",https://www.amazon.co.jp/dp/4478104514?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
続・心理統計学の基礎--統合的理解を広げ深める (有斐閣アルマ),南風原朝和,"有斐閣 / 
          2014年12月13日発売",https://www.amazon.co.jp/dp/4641220417?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
ゼロから作るDeep Learning ―Pythonで学ぶディープラーニングの理論と実装,斎藤康毅,"オライリージャパン / 
          2016年9月24日発売",https://www.amazon.co.jp/dp/4873117585?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
ゼロから作るDeep Learning ? ―自然言語処理編,斎藤康毅,"オライリージャパン / 
          2018年7月21日発売",https://www.amazon.co.jp/dp/4873118360?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
